year,quarter,free_cash_flow
2020,Q4,25925000000.0
2021,Q1,21787000000.0
2021,Q2,7067000000.0
2021,Q3,-2269000000.0
2021,Q4,-14726000000.0
2022,Q1,-24598000000.0
2022,Q2,-29784000000.0
2022,Q3,-26323000000.0
2022,Q4,-16893000000.0
2023,Q1,-8571000000.0
2023,Q2,3209000000.0
2023,Q3,16921000000.0
2023,Q4,32217000000.0
2024,Q1,45700000000.0
2024,Q2,48340000000.0
2024,Q3,42953000000.0
2024,Q4,32878000000.0
2025,Q1,20810000000.0
2025,Q2,13481000000.0
2025,Q3,10560000000.0
