year,quarter,shares_outstanding
2020,Q4,10200000000.0
2021,Q1,10235000000.0
2021,Q2,10260000000.0
2021,Q3,10275000000.0
2021,Q4,10290000000.0
2022,Q1,10270000000.0
2022,Q2,10245750000.0
2022,Q3,10220250000.0
2022,Q4,10200750000.0
2023,Q1,10220250000.0
2023,Q2,10286750000.0
2023,Q3,10376750000.0
2023,Q4,10468750000.0
2024,Q1,10571750000.0
2024,Q2,10636500000.0
2024,Q3,10680750000.0
2024,Q4,10708500000.0
2025,Q1,10739250000.0
2025,Q2,10763750000.0
2025,Q3,10791250000.0
