year,quarter,revenue
2020,Q4,386064000000.0
2021,Q1,419130000000.0
2021,Q2,443298000000.0
2021,Q3,457965000000.0
2021,Q4,469822000000.0
2022,Q1,477748000000.0
2022,Q2,485902000000.0
2022,Q3,502191000000.0
2022,Q4,513983000000.0
2023,Q1,524897000000.0
2023,Q2,538046000000.0
2023,Q3,554028000000.0
2023,Q4,574785000000.0
2024,Q1,590740000000.0
2024,Q2,604334000000.0
2024,Q3,620128000000.0
2024,Q4,637959000000.0
2025,Q1,650313000000.0
2025,Q2,670038000000.0
2025,Q3,691330000000.0
