metric,value,date
current_price,538.7899780273438,2026-01-30
52_week_high,598.9600219726562,2026-01-30
52_week_low,479.9200134277344,2026-01-30
pct_from_52week_high,-10.05,2026-01-30
pct_change_1y,-4.81,2026-01-30
