metric,value,date
current_price,327.92999267578125,2026-01-23
52_week_high,335.9700012207031,2026-01-23
52_week_low,144.6999969482422,2026-01-23
pct_from_52week_high,-2.39,2026-01-23
pct_change_1y,65.64,2026-01-23
