year,quarter,shares_outstanding
2020,Q4,419075000.0
2021,Q1,418100000.0
2021,Q2,416350000.0
2021,Q3,413700000.0
2021,Q4,410350000.0
2022,Q1,406775000.0
2022,Q2,403425000.0
2022,Q3,400425000.0
2022,Q4,397975000.0
2023,Q1,396300000.0
2023,Q2,395150000.0
2023,Q3,394425000.0
2023,Q4,394075000.0
2024,Q1,393800000.0
2024,Q2,393675000.0
2024,Q3,393650000.0
2024,Q4,393600000.0
2025,Q1,393300000.0
2025,Q2,392025000.0
2025,Q3,390525000.0
