year,quarter,free_cash_flow
2020,Q4,3319462191.0
2021,Q1,3012483138.0
2021,Q2,6237478494.0
2021,Q3,7907929543.0
2021,Q4,10225567378.0
2022,Q1,10543403359.0
2022,Q2,9619652536.0
2022,Q3,8817574330.0
2022,Q4,7349941922.0
2023,Q1,8388750014.0
2023,Q2,5784587975.0
2023,Q3,5571700000.0
2023,Q4,3216312064.0
2024,Q1,2338873921.0
2024,Q2,2890153576.0
2024,Q3,2782012459.0
2024,Q4,9526076405.0
2025,Q1,9741409742.0
2025,Q2,9700930087.0
2025,Q3,9445971204.0
