year,quarter,revenue
2021,Q1,5649000000.0
2021,Q2,7179000000.0
2021,Q3,9215000000.0
2021,Q4,10958000000.0
2022,Q1,12512000000.0
2022,Q2,14646000000.0
2022,Q3,16022000000.0
2022,Q4,17090000000.0
2023,Q1,18173000000.0
2023,Q2,19341000000.0
2023,Q3,20630000000.0
2023,Q4,21365000000.0
2024,Q1,22002000000.0
2024,Q2,22399000000.0
2024,Q3,23052000000.0
2024,Q4,23739000000.0
2025,Q1,24086000000.0
2025,Q2,25025000000.0
2025,Q3,26039000000.0
2025,Q4,26917000000.0
