year,quarter,free_cash_flow
2021,Q1,-13000000.0
2021,Q2,1028000000.0
2021,Q3,1697000000.0
2021,Q4,2516000000.0
2022,Q1,4374000000.0
2022,Q2,5879000000.0
2022,Q3,4266000000.0
2022,Q4,6186000000.0
2023,Q1,7401000000.0
2023,Q2,6448000000.0
2023,Q3,7845000000.0
2023,Q4,6999000000.0
2024,Q1,6772000000.0
2024,Q2,7506000000.0
2024,Q3,8501000000.0
2024,Q4,7894000000.0
2025,Q1,8482000000.0
2025,Q2,9240000000.0
2025,Q3,8315000000.0
2025,Q4,9087000000.0
