year,quarter,operating_margin
2021,Q1,-0.11205523101433883
2021,Q2,-0.0285555091238334
2021,Q3,0.16223548562126966
2021,Q4,0.2277787917503194
2022,Q1,0.2382512787723785
2022,Q2,0.2756383995630206
2022,Q3,0.2874173012108351
2022,Q4,0.29853715623171445
2023,Q1,0.29593352776096404
2023,Q2,0.3128586939661858
2023,Q3,0.3185167232186137
2023,Q4,0.2731102270067868
2024,Q1,0.2807017543859649
2024,Q2,0.2838966025268985
2024,Q3,0.2791514836022905
2024,Q4,0.3182526643919289
2025,Q1,0.3249190401062858
2025,Q2,0.3284715284715285
2025,Q3,0.32735512116440724
2025,Q4,0.3289742541888026
