year,quarter,shares_outstanding
2021,Q1,40998250.0
2021,Q2,41013000.0
2021,Q3,41078250.0
2021,Q4,41185000.0
2022,Q1,41172000.0
2022,Q2,41074750.0
2022,Q3,40657000.0
2022,Q4,39991500.0
2023,Q1,39257000.0
2023,Q2,38331750.0
2023,Q3,37410750.0
2023,Q4,36539000.0
2024,Q1,35719750.0
2024,Q2,35045500.0
2024,Q3,34514750.0
2024,Q4,34065750.0
2025,Q1,33662500.0
2025,Q2,33250500.0
2025,Q3,32924000.0
2025,Q4,32727250.0
