year,quarter,revenue
2020,Q4,182527000000.0
2021,Q1,196682000000.0
2021,Q2,220265000000.0
2021,Q3,239210000000.0
2021,Q4,257637000000.0
2022,Q1,270334000000.0
2022,Q2,278139000000.0
2022,Q3,282113000000.0
2022,Q4,282836000000.0
2023,Q1,284612000000.0
2023,Q2,289531000000.0
2023,Q3,297132000000.0
2023,Q4,307394000000.0
2024,Q1,318146000000.0
2024,Q2,328284000000.0
2024,Q3,339859000000.0
2024,Q4,350018000000.0
2025,Q1,359713000000.0
2025,Q2,371399000000.0
2025,Q3,385477000000.0
