metric,value,date
current_price,239.16000366210938,2026-01-23
52_week_high,254.0,2026-01-23
52_week_low,167.32000732421875,2026-01-23
pct_from_52week_high,-5.84,2026-01-23
pct_change_1y,1.59,2026-01-23
