metric,value,date
current_price,86.12000274658203,2026-01-23
52_week_high,133.91299438476562,2026-01-23
52_week_low,83.54000091552734,2026-01-23
pct_from_52week_high,-35.69,2026-01-23
pct_change_1y,-12.56,2026-01-23
