year,quarter,shares_outstanding
2021,Q1,1786383750.0
2021,Q2,1840653250.0
2021,Q3,1876634500.0
2021,Q4,1929761250.0
2022,Q1,1954562750.0
2022,Q2,1957789500.0
2022,Q3,1977875750.0
2022,Q4,1991621749.75
2023,Q1,2004578249.75
2023,Q2,2032173999.75
2023,Q3,2064468999.75
2023,Q4,2079807500.0
2024,Q1,2097460250.0
2024,Q2,2115148750.0
2024,Q3,2126645500.0
2024,Q4,2131519750.0
2025,Q1,2142132250.0
2025,Q2,2135672750.0
2025,Q3,2128154000.0
2025,Q4,2119300250.0
