year,quarter,shares_outstanding
2021,Q1,1003000003.75
2021,Q2,999500003.75
2021,Q3,995750003.75
2021,Q4,992000000.0
2022,Q1,987750000.0
2022,Q2,982750000.0
2022,Q3,977250000.0
2022,Q4,971500000.0
2023,Q1,965250000.0
2023,Q2,959000000.0
2023,Q3,952750000.0
2023,Q4,946750000.0
2024,Q1,941500000.0
2024,Q2,936750000.0
2024,Q3,932250000.0
2024,Q4,927250000.0
2025,Q1,922000000.0
2025,Q2,916750000.0
2025,Q3,911750000.0
2025,Q4,906500000.0
