year,quarter,free_cash_flow
2021,Q1,6185000000.0
2021,Q2,6985000000.0
2021,Q3,7790000000.0
2021,Q4,8649000000.0
2022,Q1,8818000000.0
2022,Q2,9013000000.0
2022,Q3,10298000000.0
2022,Q4,10098000000.0
2023,Q1,10177000000.0
2023,Q2,10372000000.0
2023,Q3,9792000000.0
2023,Q4,11084000000.0
2024,Q1,10811000000.0
2024,Q2,11188000000.0
2024,Q3,13055000000.0
2024,Q4,13741000000.0
2025,Q1,14668000000.0
2025,Q2,16389000000.0
2025,Q3,17008000000.0
2025,Q4,17092000000.0
