year,quarter,revenue
2021,Q1,15447000000.0
2021,Q2,16640000000.0
2021,Q3,17788000000.0
2021,Q4,18884000000.0
2022,Q1,19896000000.0
2022,Q2,20865000000.0
2022,Q3,21636000000.0
2022,Q4,22237000000.0
2023,Q1,22818000000.0
2023,Q2,23590000000.0
2023,Q3,24367000000.0
2023,Q4,25098000000.0
2024,Q1,25698000000.0
2024,Q2,26390000000.0
2024,Q3,27226000000.0
2024,Q4,28167000000.0
2025,Q1,29069000000.0
2025,Q2,30241000000.0
2025,Q3,31474000000.0
2025,Q4,32791000000.0
