year,quarter,revenue
2021,Q1,26391647000.0
2021,Q2,27585138000.0
2021,Q3,28632968000.0
2021,Q4,29697844000.0
2022,Q1,30402329000.0
2022,Q2,31030693000.0
2022,Q3,31472815000.0
2022,Q4,31615550000.0
2023,Q1,31909286000.0
2023,Q2,32126446000.0
2023,Q3,32742525000.0
2023,Q4,33723297000.0
2024,Q1,34932234000.0
2024,Q2,36304243000.0
2024,Q3,37587278000.0
2024,Q4,39000966000.0
2025,Q1,40173327000.0
2025,Q2,41693183000.0
2025,Q3,43919242000.0
2025,Q4,45723491000.0
