year,quarter,free_cash_flow
2021,Q1,2463522000.0
2021,Q2,1390148000.0
2021,Q3,151250000.0
2021,Q4,-131975000.0
2022,Q1,-26559000.0
2022,Q2,160212000.0
2022,Q3,717010000.0
2022,Q4,1618528000.0
2023,Q1,2933568000.0
2023,Q2,4260096000.0
2023,Q3,5676632000.0
2023,Q4,6925749000.0
2024,Q1,6945836000.0
2024,Q2,6819136000.0
2024,Q3,7124988000.0
2024,Q4,6921826000.0
2025,Q1,7445940000.0
2025,Q2,8500749000.0
2025,Q3,8178818000.0
2025,Q4,16261651000.0
