year,quarter,eps_diluted
2020,Q4,0.6080232924736898
2021,Q1,0.8258958256935874
2021,Q2,0.9645243358587123
2021,Q3,1.109466457673795
2021,Q4,1.1236533848610337
2022,Q1,1.1017286467862488
2022,Q2,1.1245385577385696
2022,Q3,1.1164920073600053
2022,Q4,0.9954644599428929
2023,Q1,0.9312919209253869
2023,Q2,0.940629993606527
2023,Q3,1.0028982289861572
2023,Q4,1.199298945496249
2024,Q1,1.4388841872374196
2024,Q2,1.5977687429688563
2024,Q3,1.764757029952452
2024,Q4,1.982946980474452
2025,Q1,2.116349585475941
2025,Q2,2.3450101679986073
2025,Q3,2.3608896383351485
