year,quarter,shares_outstanding
2020,Q4,4542025000.0
2021,Q1,4549892500.0
2021,Q2,4552852500.0
2021,Q3,4552445000.0
2021,Q4,4553725000.0
2022,Q1,4547082500.0
2022,Q2,4534682500.0
2022,Q3,4523230000.0
2022,Q4,4512865000.0
2023,Q1,4511447500.0
2023,Q2,4514955000.0
2023,Q3,4514122500.0
2023,Q4,4508745000.0
2024,Q1,4481837500.0
2024,Q2,4452255000.0
2024,Q3,4421972500.0
2024,Q4,4392692500.0
2025,Q1,4380962500.0
2025,Q2,4371407500.0
2025,Q3,4364872500.0
